dist,year,est,se
0_10mi,05_06,-0.0688218748864842,0.0164186988142416
0_10mi,07_08,-0.0361141574674225,0.0172587868151256
0_10mi,09_10,-0.0117185974755549,0.0167965197029684
0_10mi,11_12,0.00964596529370258,0.0166557653112613
0_10mi,13_14,-0.0162171081193671,0.0138544213572325
0_10mi,15+,-0.00896088046868447,0.00875538802874946
5_15mi,05_06,-0.104761452774167,0.0160395698482298
5_15mi,07_08,-0.0677922812767974,0.0179456539603762
5_15mi,09_10,-0.0520671577325966,0.0171546609973011
5_15mi,11_12,-0.0424722633236929,0.0166006232097225
5_15mi,13_14,-0.0324197111829709,0.0140147711323643
5_15mi,15+,-0.0599279917107442,0.00865793302178089
10_20mi,05_06,-0.145631442329472,0.016148947872333
10_20mi,07_08,-0.0912617680834575,0.0182785986552256
10_20mi,09_10,-0.0545203970082141,0.0179281423947166
10_20mi,11_12,-0.0626734098551831,0.017340897979593
10_20mi,13_14,-0.0489176657593318,0.0139363568033165
10_20mi,15+,-0.0917063758865651,0.00897389944262523
