"",2015-2019 ACS Est,2015-2019 ACS MOE
National,68100,50.6
Metropolitan (RUCA 1-3),70200,63.6
Micropolitan (RUCA 4-6),52000,135
Rural (RUCA 7-10),50000,128
Northeast,76600,141
Midwest,63700,84.3
South,62500,79.6
West,75700,117
ReConnect Regions,51.6,290
ReConnect Metropolitan,58.8,587
ReConnect Micropolitan,50.7,651
ReConnect Rural,48.1,394
ReConnect Northeast,58.3,725
ReConnect Midwest,55.8,439
ReConnect South,48.2,503
ReConnect West,55.3,1170
ReConnect Round 1,51.3,393
ReConnect Round 2,51.9,430
In RC and Fiber,51.1,339
In RC and Fiber plus,53.6,836
In RC and Non-fiber,51.8,623
In RC Approved,51.5,453
In RC Rejected,51.7,369
In RC Withdrawn,50.6,1460
